id,region_id,soato_id,name_uz,name_oz,name_ru
182,13,1730236,Dang'ara tumani,Данғара тумани,Дангаринский район
183,13,1730238,Furqat tumani,Фурқат тумани,Фуркатский район
184,13,1730242,Yozyovon tumani,Ёзёвон тумани,Язъяванский район
185,13,1730401,Farg'ona,Фарғона,Фергана
186,13,1730405,Qo'qon,Қўқон,Коканд
187,13,1730408,Quvasoy,Қувасой,Кувасай
188,13,1730412,Marg'ilon,Марғилон,Маpгилан
189,14,1733204,Bog'ot tumani,Боғот тумани,Багатский район
190,14,1733208,Gurlan tumani,Гурлан тумани,Гурленский район
191,14,1733212,Qo'shko'pir tumani,Қўшкўпир тумани,Кошкупырский район
192,14,1733217,Urganch tumani,Урганч тумани,Ургенчский район
193,14,1733220,Xazorasp tumani,Хазорасп тумани,Хазараспский район
194,14,1733223,Xonqa tumani,Хонқа тумани,Ханкинский район
195,14,1733226,Xiva tumani,Хива тумани,Хивинский район
196,14,1733230,Shovot tumani,Шовот тумани,Шаватский район
197,14,1733233,Yangiariq tumani,Янгиариқ тумани,Янгиарыкский район
198,14,1733236,Yangibozor tumani,Янгибозор тумани,Янгибазарский район
199,14,1733401,Urganch,Урганч,Ургенч
200,14,1733406,Xiva,Хива,Хива
201,15,1735204,Amudaryo tumani,Амударё тумани,Амударьинский район
202,15,1735207,Beruniy tumani,Беруний тумани,Берунийский район
203,15,1735211,Qorao'zak tumani,Қораўзак тумани,Караузякский район
204,15,1735212,Kegeyli tumani,Кегейли тумани,Кегейлийский район
205,15,1735215,Qo'ng'irot tumani,Қўнғирот тумани,Кунградский район
206,15,1735218,Qanliko'l tumani,Қанликўл тумани,Канлыкульский район
207,15,1735222,Mo'ynoq tumani,Мўйноқ тумани,Муйнакский район
208,15,1735225,Nukus tumani,Нукус тумани,Нукусский район
209,15,1735228,Taxiatosh tumani,Тахиатош тумани,Тахиаташский район
210,15,1735230,Taxtako'pir tumani,Тахтакўпир тумани,Тахтакупырский район
211,15,1735233,To'rtko'l tumani,Тўрткўл тумани,Турткульский район
212,15,1735236,Xo'jayli tumani,Хўжайли тумани,Ходжейлийский район
213,15,1735240,Chimboy tumani,Чимбой тумани,Чимбайский район
214,15,1735243,Shumanay tumani,Шуманай тумани,Шуманайский район
215,15,1735250,Ellikqal'a tumani,Элликқалъа тумани,Элликкалинский район
216,15,1735401,Nukus,Нукус,Нукус
2905,4,1708212,Sh.Rashidov tumani,Ш.Рашидов тумани,Ш.Рашидовский район
2939,6,1712408,Zarafshon,Зарафшон,Заpафшан
2981,5723,1722401,Termiz,Термиз,Термез
2993,11,1726260260,Toshkent shahrining tumanlari,Тошкент шаҳрининг туманлари,null
5867,12,1727233,Quyichirchiq tumani,Қуйичирчиқ тумани,Куйичирчикский район
8574,10,1724414,Baxt shaxar,Бахт шахар,город Бахт
8575,15,1735209,Bo‘zatov tumani,Бўзатов тумани,Бузатовский район
8580,5723,1722203,Bandixon tumani,Бандихон тумани,Бандиханский район
8581,14,1733221,Tuproqqal’a tumani,Тупроққалъа тумани,Тупроккалинский район
8584,6,1712412,G‘ozg‘on tumani,Ғозғон тумани,Газганский район
8587,11,1726292,Yangihayot tumani,Янгиҳаёт тумани,Янгихаётский район
8591,5,1710240,Ko‘kdala tumani,Кўкдала тумани,Кукдалинский район
8595,7,1714401365,Davlatobod tumani,Давлатобод тумани,Давлатабадский район
8601,7,1714401367,Yangi Namangan tumani,Янги Наманган тумани,Янги Наманганский район
